file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
67666	67666	LUSAKA CITY AIRPORT	-15.416666666666666	28.466666666666665		15 25 00S	028 28 00E	0.5	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-20000-0-67666		0-20000-0-67666	19840904	20020729	999.0	999.0	True	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	CITY005	LUSAKA CITY AIRPORT	-15.416666666666666	28.466666666666665		15 25 00S	028 28 00E	0.5	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-894-1-CITY005		0-894-1-CITY005	19840904	20020729	999.0	999.0	True	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	cty0005	LUSAKA CITY AIRPORT	-15.416666666666666	28.466666666666665		15 25 00S	028 28 00E	0.5	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-894-1-cty0005		0-894-1-cty0005	19840904	20020729	999.0	999.0	True	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67665	LUSAKA INTERNATIONAL AIRPORT	-15.316666666666666	28.45	1154.0	15 19 00S	028 27 00E	11.6	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-20000-0-67665		0-20000-0-67665	19840904	20020729	999.0	999.0	False	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	mak0030	MOUNT MAKULU	-15.55	28.25	1213.0	15 33 00S	028 15 00E	27.6	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-894-1-mak0030		0-894-1-mak0030	19840904	20020729	999.0	999.0	False	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67667	MOUNT MAKULU	-15.55	28.25	1213.0	15 33 00S	028 15 00E	27.6	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-20000-0-67667		0-20000-0-67667	19840904	20020729	999.0	999.0	False	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	MKLU031	MOUNT MAKULU	-15.55	28.25	1213.0	15 33 00S	028 15 00E	27.6	[-15.42, -15.42]	[28.47, 28.32]	OSCAR	0-894-1-MKLU031		0-894-1-MKLU031	19840904	20020729	999.0	999.0	False	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67666	LUSAKA CITY AIRPORT	-15.417	28.317	1280.0			16.4	[-15.42, -15.42]	[28.47, 28.32]	IGRA2			0-20300-0-67666	19840904	20020729	1956.0	2000.0	True	0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666									[-15.42, -15.42]	[28.47, 28.32]	WBAN			0-20500-0-nan	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666									[-15.42, -15.42]	[28.47, 28.32]	CHUAN			0-20400-0-nan	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67665	Lusaka Intl. AP, Zambia	-15.32	28.45	-999.0			11.3	[-15.42, -15.42]	[28.47, 28.32]	SCHROEDER		67665	0-20600-0-67665	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67664	(made up station ID) Lusaka (City AP) SHADOZ ozonesonde site, Zambia	-15.42	28.32	-999.0			16.1	[-15.42, -15.42]	[28.47, 28.32]	SCHROEDER		67664	0-20600-0-67664	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67666	Lusaka City AP, Zambia	-15.4166	28.32	-999.0			16.1	[-15.42, -15.42]	[28.47, 28.32]	SCHROEDER		67666	0-20600-0-67666	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67666	LUSAKA CITY              	-15.416666666666666	28.316666666666663	-999.0			16.5	[-15.42, -15.42]	[28.47, 28.32]	WMO		67666	0-20700-0-67666	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666	67665	LUSAKA AIRPORT           	-15.316666666666666	28.45	-999.0			11.6	[-15.42, -15.42]	[28.47, 28.32]	WMO		67665	0-20700-0-67665	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666									[-15.42, -15.42]	[28.47, 28.32]	AMMA			0-20800-0-nan	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
67666									[-15.42, -15.42]	[28.47, 28.32]	HARA			0-20111-0-nan	19840904	20020729				0-20000-0-67666	lusaka	[36, 38, 39, 85, 104, 105, 106, 107, 117]
