file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
4934	0000000000008159	ZARAGOZA-VALDESPARTERA	41.620555555555555	-0.935		41 37 14N	000 56 06W	9.0	[41.67, 41.67]	[-0.85, -0.85]	OSCAR	0-724-0-0000000000008159		0-724-0-0000000000008159	1908-10-10	1960-12-31	999	999	False	0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	08160	ZARAGOZA/AEROPUERTO	41.660555555555554	-1.0041666666666667	258.0	41 39 38N	001 00 15W	12.9	[41.67, 41.67]	[-0.85, -0.85]	OSCAR	0-20000-0-08160		0-20000-0-08160	1908-10-10	1960-12-31	999	999	False	0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	08162	PERDIGUERA	41.73388888888889	-0.5458333333333333		41 44 02N	000 32 45W	26.3	[41.67, 41.67]	[-0.85, -0.85]	OSCAR	0-20000-0-08162		0-20000-0-08162	1908-10-10	1960-12-31	999	999	False	0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	08160	ZARAGOZA/BASE AEREA	41.6786	-1.0731	252.0			18.6	[41.67, 41.67]	[-0.85, -0.85]	IGRA2			0-20300-0-08160	1908-10-10	1960-12-31	1958	2015	True	0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	14010	ZARAGOZA	41.67	-1.03	263.0424			15.0	[41.67, 41.67]	[-0.85, -0.85]	WBAN			0-20500-0-14010	1908-10-10	1960-12-31	19570701	19670430		0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	4934	Zaragoza	41.67	-0.85	240			0.0	[41.67, 41.67]	[-0.85, -0.85]	CHUAN		-999	0-20400-0-4934	1908-10-10	1960-12-31	-999-999	-999-999		0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	5765	Zaragoza	41.65	-0.88	205			3.3	[41.67, 41.67]	[-0.85, -0.85]	CHUAN		-999	0-20400-0-5765	1908-10-10	1960-12-31	-999-999	-999-999		0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	5403	Zaragoza	41.65	-0.88	240			3.3	[41.67, 41.67]	[-0.85, -0.85]	CHUAN		-999	0-20400-0-5403	1908-10-10	1960-12-31	-999-999	-999-999		0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	5381	Valladolid	41.63	-0.73	690			10.9	[41.67, 41.67]	[-0.85, -0.85]	CHUAN		-999	0-20400-0-5381	1908-10-10	1960-12-31	-999-999	-999-999		0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	8160	Zaragoza AP, Spain	41.67	-1.02	-999			14.2	[41.67, 41.67]	[-0.85, -0.85]	SCHROEDER		8160	0-20600-0-8160	1908-10-10	1960-12-31				0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	8159	Zaragoza Air Base (operated by US Air Force), Spain	41.68	-1.07	-999			18.4	[41.67, 41.67]	[-0.85, -0.85]	SCHROEDER		8159	0-20600-0-8159	1908-10-10	1960-12-31				0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	08161	ZARAGOZA                 	41.65	-0.8833333333333333	-999.0			3.6	[41.67, 41.67]	[-0.85, -0.85]	WMO		08161	0-20700-0-08161	1908-10-10	1960-12-31				0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934	08160	ZARAGOZA/SANJURJO        	41.65	-1.0	-999.0			12.7	[41.67, 41.67]	[-0.85, -0.85]	WMO		08160	0-20700-0-08160	1908-10-10	1960-12-31				0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934									[41.67, 41.67]	[-0.85, -0.85]	AMMA			0-20800-0-nan	1908-10-10	1960-12-31				0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4934									[41.67, 41.67]	[-0.85, -0.85]	HARA			0-20111-0-nan	1908-10-10	1960-12-31				0-724-0-0000000000008159	zaragoza	['126', '137', '106', '107', '137', '138', '139', '140', '117']
