	station_id	WMO_id	station_name	latitude	longitude
0	4208	-999	Mormugão/India	15.38	73.82
1	4209	61931	São_Tomé	0.38	6.72
2	4339	07631	Toulouse-Francazal	43.54	1.371
3	4340	07631	Toulouse-Francazal	43.54	1.371
4	4525	27612	Moscow_Dolgoprudnii	55.93	37.52
5	4526	27612	Moscow_Dolgoprudnii	55.93	37.52
6	4527	27612	Moscow_Dolgoprudnii	55.93	37.52
7	4528	27612	Moscow_Dolgoprudnii	55.93	37.52
8	4529	27612	Moscow_Dolgoprudnii	55.93	37.52
9	4530	27612	Moscow_Dolgoprudnii	55.93	37.25
10	4531	27612	Moscow_Dolgoprudnii	55.73	37.42
11	4532	27612	Moscow_Dolgoprudnii	55.73	37.42
12	4533	27612	Moscow_Dolgoprudnii	55.93	37.52
13	4534	27612	Moscow_Dolgoprudnii	55.93	37.52
14	4535	27612	Moscow_Dolgoprudnii	55.93	37.52
15	4536	27612	Moscow_Dolgoprudnii	55.93	37.52
16	4537	27612	Moscow_Dolgoprudnii	55.93	37.52
17	4538	27612	Moscow_Dolgoprudnii	55.93	37.52
18	4539	-999	Aldan	58.62	125.37
19	4540	-999	Amderma	69.75	61.7
20	4541	-999	Anadir'	64.78	177.57
21	4542	-999	Aral'skoe More	46.62	61.65
22	4543	-999	Arkhangel'sk	64.55	40.58
23	4544	-999	Ayan	56.45	138.15
24	4545	-999	Barentsburg	78.07	14.25
25	4546	-999	Barguzin	53.62	109.63
26	4547	-999	Buhta Tihaya	80.32	52.8
27	4548	-999	Buhta Tiksi	71.52	128.93
28	4549	-999	Charjou	39.08	63.6
29	4550	-999	Chita	52.05	113.48
30	4551	-999	Dudinka	69.4	86.17
31	4552	-999	Gorkiy	56.27	44.0
32	4553	-999	Gur'ev	47.12	51.85
33	4554	-999	Hatanga	71.98	102.47
34	4555	-999	Karaganda	49.8	73.13
35	4556	-999	Kem'	64.95	34.65
36	4557	-999	Kharkov	49.93	36.28
37	4558	-999	Kirensk	57.77	108.07
38	4559	-999	Klyuchi	56.32	160.83
39	4560	-999	Krasniy Chikoi	50.37	108.75
40	4561	-999	Krasnoyarsk	56.0	92.97
41	4562	-999	Kresti Kolimskie	68.8	161.28
42	4563	-999	Kursk	51.75	36.2
43	4564	-999	Kustanai	53.22	63.62
