file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
1:48858									[14.0, 14.0]	[108.02, 108.01]	OSCAR				19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	48858	PLEIKU AB	14.0	108.0167	807.0			0.7	[14.0, 14.0]	[108.02, 108.01]	IGRA2			0-20300-0-48858	19660210	19720915	1970.0	1971.0	True	0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	41005	PLEIKU	14.0	108.02	745.236			1.1	[14.0, 14.0]	[108.02, 108.01]	WBAN			0-20500-0-41005	19660210	19720915	19620601.0	19710131.0		0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	41050	CAMP HOLLOWAY	13.97	108.03	750.1128			4.0	[14.0, 14.0]	[108.02, 108.01]	WBAN			0-20500-0-41050	19660210	19720915	19651001.0	99991231.0		0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	41035	DRAGON MOUNTAIN	13.83	108.05	765.048			19.3	[14.0, 14.0]	[108.02, 108.01]	WBAN			0-20500-0-41035	19660210	19720915	19661001.0	19700228.0		0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	41043	OASIS	13.8	107.95	539.1912			23.1	[14.0, 14.0]	[108.02, 108.01]	WBAN			0-20500-0-41043	19660210	19720915	19670401.0	19670930.0		0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858									[14.0, 14.0]	[108.02, 108.01]	CHUAN			0-20400-0-nan	19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	48858	VVPK Play Ku / Pleiku (Cu-Hanh - Pleiku Air Base), Vietnam	14.0	108.02	-999.0			1.1	[14.0, 14.0]	[108.02, 108.01]	SCHROEDER		48858.0	0-20600-0-48858	19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858	48866	Pleiku City, Vietnam	13.98	108.0	-999.0			2.5	[14.0, 14.0]	[108.02, 108.01]	SCHROEDER		48866.0	0-20600-0-48866	19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858									[14.0, 14.0]	[108.02, 108.01]	WMO			0-20700-0-nan	19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858									[14.0, 14.0]	[108.02, 108.01]	AMMA			0-20800-0-nan	19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
1:48858									[14.0, 14.0]	[108.02, 108.01]	HARA			0-20111-0-nan	19660210	19720915				0-20300-0-48858	play cu	[38, 85, 104, 105, 106, 107, 117]
