file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
1:8159	08160	ZARAGOZA/AEROPUERTO	41.660555555555554	-1.0041666666666667	258.0	41 39 38N	001 00 15W	5.9	[41.68, 41.68]	[-1.07, -1.07]	OSCAR	0-20000-0-08160		0-20000-0-08160	19580627	19651130	999	999	False	0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	0000000000008159	ZARAGOZA-VALDESPARTERA	41.620555555555555	-0.935		41 37 14N	000 56 06W	13.0	[41.68, 41.68]	[-1.07, -1.07]	OSCAR	0-724-0-0000000000008159		0-724-0-0000000000008159	19580627	19651130	999	999	False	0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	08160	ZARAGOZA/BASE AEREA	41.6786	-1.0731	252.0			0.3	[41.68, 41.68]	[-1.07, -1.07]	IGRA2			0-20300-0-08160	19580627	19651130	1958	2015	True	0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	14010	ZARAGOZA	41.67	-1.03	263.0424			3.5	[41.68, 41.68]	[-1.07, -1.07]	WBAN			0-20500-0-14010	19580627	19651130	19570701	19670430		0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	5765	Zaragoza	41.65	-0.88	205			16.2	[41.68, 41.68]	[-1.07, -1.07]	CHUAN		-999	0-20400-0-5765	19580627	19651130	-999-999	-999-999		0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	5403	Zaragoza	41.65	-0.88	240			16.2	[41.68, 41.68]	[-1.07, -1.07]	CHUAN		-999	0-20400-0-5403	19580627	19651130	-999-999	-999-999		0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	4934	Zaragoza	41.67	-0.85	240			18.4	[41.68, 41.68]	[-1.07, -1.07]	CHUAN		-999	0-20400-0-4934	19580627	19651130	-999-999	-999-999		0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	5381	Valladolid	41.63	-0.73	690			28.9	[41.68, 41.68]	[-1.07, -1.07]	CHUAN		-999	0-20400-0-5381	19580627	19651130	-999-999	-999-999		0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	8159	Zaragoza Air Base (operated by US Air Force), Spain	41.68	-1.07	-999			0.0	[41.68, 41.68]	[-1.07, -1.07]	SCHROEDER		8159	0-20600-0-8159	19580627	19651130				0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	8160	Zaragoza AP, Spain	41.67	-1.02	-999			4.3	[41.68, 41.68]	[-1.07, -1.07]	SCHROEDER		8160	0-20600-0-8160	19580627	19651130				0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	08160	ZARAGOZA/SANJURJO        	41.65	-1.0	-999.0			6.7	[41.68, 41.68]	[-1.07, -1.07]	WMO		08160	0-20700-0-08160	19580627	19651130				0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159	08161	ZARAGOZA                 	41.65	-0.8833333333333333	-999.0			15.9	[41.68, 41.68]	[-1.07, -1.07]	WMO		08161	0-20700-0-08161	19580627	19651130				0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159									[41.68, 41.68]	[-1.07, -1.07]	AMMA			0-20800-0-nan	19580627	19651130				0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
1:8159									[41.68, 41.68]	[-1.07, -1.07]	HARA			0-20111-0-nan	19580627	19651130				0-20000-0-08160	zaragoza	[38, 85, 104, 105, 106, 107, 117]
