index,lat/lon,file,value
0,latitude,era5.conv._2:50304.gz,-5.9000001
1,latitude,era5.conv._2:50304.gz,-5.9000001
2,latitude,era5.conv._2:50304.gz,-5.9000001
3,latitude,era5.conv._2:50306.gz,-3.73000002
4,latitude,era5.conv._2:50306.gz,-3.73000002
5,latitude,era5.conv._2:50310.gz,-3.8499999
6,latitude,era5.conv._2:50402.gz,-2.9000001
7,latitude,era5.conv._2:50402.gz,-2.9000001
8,latitude,era5.conv._2:50403.gz,-2.57999992
9,latitude,era5.conv._2:50403.gz,-2.57999992
10,latitude,era5.conv._2:50403.gz,-2.57999992
11,latitude,era5.conv._2:50404.gz,-1.07000005
12,latitude,era5.conv._2:50405.gz,-1.07000005
13,latitude,era5.conv._2:50405.gz,-1.07000005
14,latitude,era5.conv._2:50406.gz,-2.5999999
15,latitude,era5.conv._2:50801.gz,-2.20000005
16,latitude,era5.conv._2:50801.gz,-2.20000005
17,latitude,era5.conv._2:50801.gz,-2.20000005
18,latitude,era5.conv._2:50801.gz,-2.20000005
19,latitude,era5.conv._2:50801.gz,-2.20000005
20,latitude,era5.conv._2:50802.gz,-4.53000021
21,latitude,era5.conv._2:50802.gz,-4.53000021
22,latitude,era5.conv._2:50802.gz,-4.53000021
23,latitude,era5.conv._2:50802.gz,-4.53000021
24,latitude,era5.conv._2:50802.gz,-4.53000021
25,latitude,era5.conv._2:50802.gz,-4.53000021
26,latitude,era5.conv._2:51004.gz,-15.92000008
27,latitude,era5.conv._2:51004.gz,-15.92000008
28,latitude,era5.conv._2:51004.gz,-15.92000008
29,latitude,era5.conv._2:51303.gz,-17.67000008
30,latitude,era5.conv._2:51303.gz,-17.67000008
31,latitude,era5.conv._2:52401.gz,-22.92000008
32,latitude,era5.conv._2:52401.gz,-22.92000008
33,latitude,era5.conv._2:52401.gz,-22.92000008
34,latitude,era5.conv._2:80301.gz,-0.94999999
35,latitude,era5.conv._2:80301.gz,-0.94999999
36,latitude,era5.conv._2:80302.gz,-1.92999995
37,latitude,era5.conv._2:80302.gz,-1.92999995
38,latitude,era5.conv._2:80402.gz,-8.77000046
39,latitude,era5.conv._2:80402.gz,-8.77000046
40,latitude,era5.conv._2:80402.gz,-8.77000046
41,latitude,era5.conv._2:80402.gz,-8.77000046
42,latitude,era5.conv._2:80408.gz,-6.07000017
43,latitude,era5.conv._2:80408.gz,-6.07000017
44,latitude,era5.conv._2:80424.gz,-2.0
45,latitude,era5.conv._2:80424.gz,-2.0
46,latitude,era5.conv._2:80426.gz,-6.13000011
47,latitude,era5.conv._2:80429.gz,-1.64999998
48,latitude,era5.conv._2:80429.gz,-1.64999998
49,latitude,era5.conv._2:80433.gz,-7.75
50,latitude,era5.conv._2:80433.gz,-7.75
51,latitude,era5.conv._2:80502.gz,-9.19999981
52,latitude,era5.conv._2:80502.gz,-9.19999981
53,latitude,era5.conv._2:80502.gz,-9.19999981
54,latitude,era5.conv._2:80504.gz,-8.32999992
55,latitude,era5.conv._2:80504.gz,-8.32999992
56,latitude,era5.conv._2:80504.gz,-8.32999992
57,latitude,era5.conv._2:80505.gz,-6.25
58,latitude,era5.conv._2:80510.gz,-9.06999969
59,latitude,era5.conv._2:80510.gz,-9.06999969
60,latitude,era5.conv._2:80513.gz,-8.60000038
61,latitude,era5.conv._2:80513.gz,-8.60000038
62,latitude,era5.conv._2:80704.gz,-8.06999969
63,latitude,era5.conv._2:80704.gz,-8.06999969
64,latitude,era5.conv._2:81605.gz,-17.53000069
65,latitude,era5.conv._2:81605.gz,-17.53000069
66,latitude,era5.conv._2:81702.gz,-17.75
