	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-91530	0	1	['80605']	1	NAURU AIRPORT			0	166.92	-0.53		19580414	19580609	1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
1	0-20000-0-80437	0	2	['80437']	1	EL VIGIA			0	-71.65	8.63		19631010	19631124	1	0	63			Daru									[36, 85, 106, 107]							L.Haimberger	0
2	0-20000-0-71946	0	3	['71946']	1	FORT SIMPSON A, NWT			0	-121.24	61.76		19620305	19620815	1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
3	0-20000-0-10963	0	4	['10963']	1	GARMISCH-PARTENKIRCHEN			0	11.06	47.48		19710721	19710721	1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
4	0-20000-0-40712	0	5	['40712']	1	ORUMIEH			0	45.06	37.66		19650406	19650413	1	0	63			Bairiki									[36, 85, 106, 107]							L.Haimberger	0
5	0-20000-0-61612	0	6	['61612']	1	PODOR			0	-14.93	16.65		19740624	19740624	1	0	63			Dagana									[36, 85, 106, 107]							L.Haimberger	0
6	0-20000-0-28676	0	7	['28679']	1	PETROPAVLOVSK (28676-0)			0	69.12	54.79		19660610	19680429	1	0	63			Petropavl									[36, 85, 106, 107]							L.Haimberger	0
7	0-20000-0-62062	0	8	['62063']	1	TOBRUK			0	23.96	32.1		19641107	19721227	1	0	63			Tubruq									[36, 85, 106, 107]							L.Haimberger	0
8	0-20000-0-61641	0	9	['61642']	1	DAKAR/YOFF			0	-17.5	14.73		19580120	19630722	1	0	63			Dakar									[36, 85, 106, 107]							L.Haimberger	0
9	0-20300-0-99009	0	10	['10494']	1	OCEAN WEATHER SHIP D			0	-41.0	44.0		19710503	19711121	1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
