file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
1:48866									[13.98, 13.98]	[108.0, 108.0]	OSCAR				19590416	19781230				0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	48858	PLEIKU AB	14.0	108.0167	807.0			2.9	[13.98, 13.98]	[108.0, 108.0]	IGRA2			0-20300-0-48858	19590416	19781230	1970.0	1971.0	True	0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	41005	PLEIKU	14.0	108.02	745.236			3.1	[13.98, 13.98]	[108.0, 108.0]	WBAN			0-20500-0-41005	19590416	19781230	19620601.0	19710131.0		0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	41050	CAMP HOLLOWAY	13.97	108.03	750.1128			3.4	[13.98, 13.98]	[108.0, 108.0]	WBAN			0-20500-0-41050	19590416	19781230	19651001.0	99991231.0		0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	41035	DRAGON MOUNTAIN	13.83	108.05	765.048			17.5	[13.98, 13.98]	[108.0, 108.0]	WBAN			0-20500-0-41035	19590416	19781230	19661001.0	19700228.0		0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	41043	OASIS	13.8	107.95	539.1912			20.6	[13.98, 13.98]	[108.0, 108.0]	WBAN			0-20500-0-41043	19590416	19781230	19670401.0	19670930.0		0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866									[13.98, 13.98]	[108.0, 108.0]	CHUAN			0-20400-0-nan	19590416	19781230				0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	48866	Pleiku City, Vietnam	13.98	108.0	-999.0			0.0	[13.98, 13.98]	[108.0, 108.0]	SCHROEDER		48866.0	0-20600-0-48866	19590416	19781230				0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866	48858	VVPK Play Ku / Pleiku (Cu-Hanh - Pleiku Air Base), Vietnam	14.0	108.02	-999.0			3.1	[13.98, 13.98]	[108.0, 108.0]	SCHROEDER		48858.0	0-20600-0-48858	19590416	19781230				0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
1:48866									[13.98, 13.98]	[108.0, 108.0]	WMO			0-20700-0-nan	19590416	19781230				0-20300-0-48858	play cu	[38, 85, 106, 107, 117]
