file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
1:40270	40270	AMMAN AIRPORT	31.983333333333334	35.983333333333334	779.0	31 59 00N	035 59 00E	0.5	[31.98, 31.95]	[35.98, 35.95]	OSCAR	0-20000-0-40270		0-20000-0-40270	19611205	19760707	999	999	False	0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	40268	SALT	32.03333333333333	35.733333333333334	915.0	32 02 00N	035 44 00E	24.0	[31.98, 31.95]	[35.98, 35.95]	OSCAR	0-20000-0-40268		0-20000-0-40268	19611205	19760707	999	999	False	0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	40272	QUEEN ALIA AIRPORT	31.716666666666665	35.983333333333334	722.0	31 43 00N	035 59 00E	29.2	[31.98, 31.95]	[35.98, 35.95]	OSCAR	0-20000-0-40272		0-20000-0-40272	19611205	19760707	999	999	False	0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	40270	AMMAN AIRPORT	31.983	35.983	779.0			0.4	[31.98, 31.95]	[35.98, 35.95]	IGRA2			0-20300-0-40270	19611205	19760707	1976	1986	True	0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	33311	AMMAN KING ABDULLAH	31.98	35.98	773.2776			0.0	[31.98, 31.95]	[35.98, 35.95]	WBAN		40270.0	0-20500-0-33311	19611205	19760707	19550801	19950101		0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	33311	AMMAN KING ABDULLAH	31.98	35.98	773.2776			0.0	[31.98, 31.95]	[35.98, 35.95]	WBAN		40270.0	0-20500-0-33311	19611205	19760707	19950101	99991231		0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	5037	Amman	31.95	35.95	775			4.4	[31.98, 31.95]	[35.98, 35.95]	CHUAN		-999	0-20400-0-5037	19611205	19760707	-999-999	-999-999		0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	5980	Amman	31.95	35.93	879			5.8	[31.98, 31.95]	[35.98, 35.95]	CHUAN		-999	0-20400-0-5980	19611205	19760707	-999-999	-999-999		0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270									[31.98, 31.95]	[35.98, 35.95]	SCHROEDER			0-20600-0-nan	19611205	19760707				0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	40270	AMMAN                   0	31.98333333333333	35.983333333333334	-999.0			0.5	[31.98, 31.95]	[35.98, 35.95]	WMO		40270	0-20700-0-40270	19611205	19760707				0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
1:40270	40272	Q.A.I.AIRPORT            	31.73333333333333	35.983333333333334	-999.0			27.4	[31.98, 31.95]	[35.98, 35.95]	WMO		40272	0-20700-0-40272	19611205	19760707				0-20000-0-40270	jawa	[38, 85, 106, 107, 117]
