file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
60390	60390	DAR-EL-BEIDA	36.69	3.216666666666667	29.0	36 41 24N	003 13 00E	0.3	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60390		0-20000-0-60390	19790101	20211231	999	999	True	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60393	DAR EL BEIDA VILLE	36.7	3.2		36 42 00N	003 12 00E	2.1	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60393		0-20000-0-60393	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60381	EL HARRACH	36.71666666666667	3.15	51.0	36 43 00N	003 09 00E	6.9	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60381		0-20000-0-60381	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60376	BORDJ EL BAHRI	36.78333333333333	3.25		36 47 00N	003 15 00E	10.7	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60376		0-20000-0-60376	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60394	BARAKI	36.68333333333333	3.1		36 41 00N	003 06 00E	10.8	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60394		0-20000-0-60394	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60370	KOUBA	36.71666666666667	3.1		36 43 00N	003 06 00E	11.1	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60370		0-20000-0-60370	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60379	REGHAIA	36.766666666666666	3.3333333333333335		36 46 00N	003 20 00E	13.2	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60379		0-20000-0-60379	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60369	ALGER-PORT	36.766666666666666	3.1	12.0	36 46 00N	003 06 00E	13.7	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60369		0-20000-0-60369	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60371	OUED KORICHE	36.78333333333333	3.033333333333333		36 47 00N	003 02 00E	19.6	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60371		0-20000-0-60371	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60372	BOUZAREAH	36.78333333333333	3.0		36 47 00N	003 00 00E	22.2	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60372		0-20000-0-60372	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60380	TESSALA EL MERDJA	36.61666666666667	2.9166666666666665		36 37 00N	002 55 00E	28.3	[36.72, 36.68]	[3.25, 3.2]	OSCAR	0-20000-0-60380		0-20000-0-60380	19790101	20211231	999	999	False	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	60390	DAR-EL-BEIDA	36.6833	3.2167	25.0			0.8	[36.72, 36.68]	[3.25, 3.2]	IGRA2			0-20300-0-60390	19790101	20211231	1948	2021	True	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	04843	ALGER	36.77	3.05	50.0			17.6	[36.72, 36.68]	[3.25, 3.2]	IGRA2			0-20300-0-04843	19790101	20211231	1930	1938	True	0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	33023	MAISON BLANCHE	36.72	3.23	23.1648			3.4	[36.72, 36.68]	[3.25, 3.2]	WBAN			0-20500-0-33023	19790101	20211231	19430401	19460131		0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	33045	ALGIERS	36.77	3.08	142.0368			15.3	[36.72, 36.68]	[3.25, 3.2]	WBAN			0-20500-0-33045	19790101	20211231	19430401	19440531		0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	33005	ALGIERS	36.77	3.05	48.1584			17.6	[36.72, 36.68]	[3.25, 3.2]	WBAN			0-20500-0-33005	19790101	20211231	19430301	19430831		0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
60390	33002	REGHAIA	36.77	3.4	34.1376			18.4	[36.72, 36.68]	[3.25, 3.2]	WBAN			0-20500-0-33002	19790101	20211231	19430901	19451031		0-20000-0-60390	algiers	[36, 38, 39, 85, 104, 105, 106, 107, 117]
