file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
98322	98322	CROW VALLEY GUNNERY RANGE	15.316666666666666	120.38333333333334		15 19 00N	120 23 00E	4.0	[15.32, 15.31]	[120.42, 120.41]	OSCAR	0-20000-0-98322		0-20000-0-98322	19790103	19880823	999.0	999.0	False	0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	98327	CLARK AB	15.182222222222222	120.56166666666667	155.0	15 10 56N	120 33 42E	21.5	[15.32, 15.31]	[120.42, 120.41]	OSCAR	0-20000-0-98327		0-20000-0-98327	19790103	19880823	999.0	999.0	False	0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	98322	CROW VALLEY GUNNERY	15.317	120.383	161.0			4.0	[15.32, 15.31]	[120.42, 120.41]	IGRA2			0-20300-0-98322	19790103	19880823	1973.0	1988.0	True	0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	98327	CLARK AB	15.167	120.567	155.0			23.2	[15.32, 15.31]	[120.42, 120.41]	IGRA2			0-20300-0-98327	19790103	19880823	1947.0	1991.0	True	0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	41234	LUZON	15.32	120.42	803.148			0.0	[15.32, 15.31]	[120.42, 120.41]	WBAN			0-20500-0-41234	19790103	19880823	19780701.0	99991231.0		0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	41207	CLARK	15.18	120.55	146.304			20.9	[15.32, 15.31]	[120.42, 120.41]	WBAN			0-20500-0-41207	19790103	19880823	19450201.0	19841130.0		0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322									[15.32, 15.31]	[120.42, 120.41]	CHUAN			0-20400-0-nan	19790103	19880823				0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	98322	Crow Valley Gunnery Range (Operated by US Navy?), Luzon, Philippines	15.32	120.42	-999.0			0.0	[15.32, 15.31]	[120.42, 120.41]	SCHROEDER		98322	0-20600-0-98322	19790103	19880823				0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	98327	Clark Air Base (operated by US Air Force), Angeles City, Luzon, Philippines	15.17	120.57	-999.0			23.1	[15.32, 15.31]	[120.42, 120.41]	SCHROEDER		98327	0-20600-0-98327	19790103	19880823				0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
98322	98327	CLARK AFB, LUZON         	15.183333333333334	120.55	-999.0			20.6	[15.32, 15.31]	[120.42, 120.41]	WMO		98327	0-20700-0-98327	19790103	19880823				0-20000-0-98322	mabalacat	[36, 38, 39, 85, 104, 105, 106, 107, 117]
