file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
38341									[42.868, 42.85]	[71.38, 71.294]	OSCAR				19790101	20211231				0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	38341	TARAZ	42.85	71.3	652.0			2.1	[42.868, 42.85]	[71.38, 71.294]	IGRA2			0-20300-0-38341	19790101	20211231	1956	2021	True	0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341									[42.868, 42.85]	[71.38, 71.294]	WBAN			0-20500-0-nan	19790101	20211231				0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	4702	Djambul	42.85	71.38	-999			7.3	[42.868, 42.85]	[71.38, 71.294]	CHUAN		-999	0-20400-0-4702	19790101	20211231	195605	195606		0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	4670	Djambul	42.85	71.38	-999			7.3	[42.868, 42.85]	[71.38, 71.294]	CHUAN		-999	0-20400-0-4670	19790101	20211231	195607	195608		0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	4690	Djambul	42.85	71.38	-999			7.3	[42.868, 42.85]	[71.38, 71.294]	CHUAN		-999	0-20400-0-4690	19790101	20211231	195603	195603		0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	4691	Djambul	42.85	71.38	-999			7.3	[42.868, 42.85]	[71.38, 71.294]	CHUAN		-999	0-20400-0-4691	19790101	20211231	195604	195604		0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	4682	Djambul	42.85	71.38	-999			7.3	[42.868, 42.85]	[71.38, 71.294]	CHUAN		-999	0-20400-0-4682	19790101	20211231	195807	195807		0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	38341	Dzhambul / Zhambyl, Kazakhstan	42.87	71.28	-999			1.2	[42.868, 42.85]	[71.38, 71.294]	SCHROEDER		38341	0-20600-0-38341	19790101	20211231				0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
38341	38341	TARAZ                    	42.016666666666666	71.0	-999.0			97.6	[42.868, 42.85]	[71.38, 71.294]	WMO		38341	0-20700-0-38341	19790101	20211231				0-20300-0-38341	taraz	[36, 38, 39, 85, 104, 105, 106, 107, 117]
