file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
48455	48455	BANGKOK METROPOLIS	13.72638888888889	100.56	4.27	13 43 35N	100 33 36E	6.5	[13.73, 13.73]	[100.5, 100.5]	OSCAR	0-20000-0-48455		0-20000-0-48455	19580116	19781231	999.0	999.0	False	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48454	BANGKOK PORT	13.706944444444444	100.56805555555555	6.0	13 42 25N	100 34 05E	7.8	[13.73, 13.73]	[100.5, 100.5]	OSCAR	0-20000-0-48454		0-20000-0-48454	19580116	19781231	999.0	999.0	False	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48453	BANGNA AGROMET	13.66638888888889	100.6061111111111	2.62	13 39 59N	100 36 22E	13.5	[13.73, 13.73]	[100.5, 100.5]	OSCAR	0-20000-0-48453		0-20000-0-48453	19580116	19781231	999.0	999.0	True	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48429	SUVARNABHUMI INTERNATIONAL AIRPORT	13.686388888888889	100.7675	6.14	13 41 11N	100 46 03E	29.3	[13.73, 13.73]	[100.5, 100.5]	OSCAR	0-20000-0-48429		0-20000-0-48429	19580116	19781231	999.0	999.0	False	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48429	Suvarnabhumi Intl Airport Aviation Test Station	13.686388888888889	100.7675	6.14	13 41 11N	100 46 03E	29.3	[13.73, 13.73]	[100.5, 100.5]	OSCAR	0-764-0-48429		0-764-0-48429	19580116	19781231	999.0	999.0	False	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48455	BANGKOK METROPOLIS	13.733	100.567	4.0			7.3	[13.73, 13.73]	[100.5, 100.5]	IGRA2			0-20300-0-48455	19580116	19781231	1953.0	2008.0	True	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48453	BANGNA AGROMET	13.6664	100.6061	0.8			13.5	[13.73, 13.73]	[100.5, 100.5]	IGRA2			0-20300-0-48453	19580116	19781231	2008.0	2021.0	True	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48456	DON MUANG	13.917	100.6	12.0			23.3	[13.73, 13.73]	[100.5, 100.5]	IGRA2			0-20300-0-48456	19580116	19781231	1973.0	1976.0	True	0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	41001	DON MUANG	13.92	100.62	4.2672			24.7	[13.73, 13.73]	[100.5, 100.5]	WBAN			0-20500-0-41001	19580116	19781231	19451001.0	19740930.0		0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455									[13.73, 13.73]	[100.5, 100.5]	CHUAN			0-20400-0-nan	19580116	19781231				0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48455	Bangkok - Meteorological Department of Thailand, Thailand	13.73	100.5	-999.0			0.0	[13.73, 13.73]	[100.5, 100.5]	SCHROEDER		48455	0-20600-0-48455	19580116	19781231				0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48453	Bangkok (Bangna - Thai Meteorological Department Agrometeorological Site, 4353 Sukhumvit Road, Bangna, Bangkok, Thailand)	13.6661	100.6071	-999.0			13.6	[13.73, 13.73]	[100.5, 100.5]	SCHROEDER		48453	0-20600-0-48453	19580116	19781231				0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48456	Bangkok - Don Muang AP, Thailand	13.92	100.6	-999.0			23.6	[13.73, 13.73]	[100.5, 100.5]	SCHROEDER		48456	0-20600-0-48456	19580116	19781231				0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48455	BANGKOK                  	13.733333333333333	100.5	4.0			0.4	[13.73, 13.73]	[100.5, 100.5]	WMO		48455	0-20700-0-48455	19580116	19781231				0-20000-0-48453	bangkok	[36, 85, 106, 107]
48455	48456	DON MUANG A              	13.916666666666666	100.6	-999.0			23.3	[13.73, 13.73]	[100.5, 100.5]	WMO		48456	0-20700-0-48456	19580116	19781231				0-20000-0-48453	bangkok	[36, 85, 106, 107]
