file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
40604	40604	SINJAR	36.31666666666667	41.833333333333336	583.0	36 19 00N	041 50 00E	12485.1	[8.73, 8.72]	[167.73, 167.73]	OSCAR	0-20000-0-40604		0-20000-0-40604	19580102	19751231	999.0	999.0	False	0-20000-0-91366	None	[36, 85, 106, 107]
40604	91366	KWAJALEIN/BUCHOLZ AAF, MARSHALL IS.	8.733333333333333	167.73333333333332	8.0	08 44 00N	167 44 00E	0.5	[8.73, 8.72]	[167.73, 167.73]	OSCAR	0-20000-0-91366		0-20000-0-91366	19580102	19751231	999.0	999.0	True	0-20000-0-91366	None	[36, 85, 106, 107]
40604	91366	KWAJALEIN/BUCHOLZ AAF	8.7333	167.7333	2.0			0.5	[8.73, 8.72]	[167.73, 167.73]	IGRA2			0-20300-0-91366	19580102	19751231	1949.0	2021.0	True	0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN MISSLE RANGE	8.73	167.73	3.048			0.0	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19750701.0	19820101.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN MISSLE RANGE	8.73	167.73	2.1336			0.0	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19820101.0	19820924.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN MISSLE RANGE	8.73	167.73	2.1336			0.0	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19820924.0	99991231.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN WB AP	8.73	167.73	3.048			0.0	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19600701.0	19701001.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN WSO AP	8.73	167.73	3.048			0.0	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19701001.0	19750701.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN	8.73	167.72	0.0			1.1	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19560101.0	19600701.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40601	KWAJALEIN AFB	8.72	167.73	3.048			1.1	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40601	19580102	19751231	19440201.0	19480701.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40601	KWAJALEIN AFB	8.72	167.73	3.048			1.1	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40601	19580102	19751231	19480701.0	19520430.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN ATOLL	8.73	167.72	3.048			1.1	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19520501.0	19541101.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	KWAJALEIN ATOLL	8.73	167.72	0.0			1.1	[8.73, 8.72]	[167.73, 167.73]	WBAN			0-20500-0-40604	19580102	19751231	19541101.0	19560101.0		0-20000-0-91366	None	[36, 85, 106, 107]
40604									[8.73, 8.72]	[167.73, 167.73]	CHUAN			0-20400-0-nan	19580102	19751231				0-20000-0-91366	None	[36, 85, 106, 107]
40604	91366	PKWA Kwajalein Atoll - Bucholz Army Airfield (operated by US Army), Marshall Islands	8.72	167.73	-999.0			1.1	[8.73, 8.72]	[167.73, 167.73]	SCHROEDER		91366	0-20600-0-91366	19580102	19751231				0-20000-0-91366	None	[36, 85, 106, 107]
40604	40604	SINJAR                   	36.18333333333333	41.5	-999.0			12518.4	[8.73, 8.72]	[167.73, 167.73]	WMO		40604	0-20700-0-40604	19580102	19751231				0-20000-0-91366	None	[36, 85, 106, 107]
40604	91366	KWAJALEIN                	8.733333333333333	167.73333333333332	-999.0			0.5	[8.73, 8.72]	[167.73, 167.73]	WMO		91366	0-20700-0-91366	19580102	19751231				0-20000-0-91366	None	[36, 85, 106, 107]
